Оперативная память;Micron;RM25664BA1339;69221;DIMM 2048Mb DDR3  PC3-10600 Rendition Micron 1339Mhz, CL9, 1.5V, Bulk;10,3;10,5;11;14;-;r;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Rendition Micron
Оперативная память;Mustang;M625664139X6NS;72648;DIMM 2048Mb DDR3 PC3-10600 Mustang BlackLine, 1333MHz;10,5;11;11,5;13,5;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Mustang
Оперативная память;NCP;NCPH8AUDR-13M88;38784;DIMM 2048Mb DDR3  PC3-10600 NCP 1333Mhz;11;11,5;12,5;13,5;-;-;24;;;;11298;DIMM 2048Mb DDR3  PC3-10600 NCP
Оперативная память;NCP;NCPH8AUDR-13MA8;61138;DIMM 2048Mb DDR3  PC3-10600 NCP 1333Mhz;10,1;10,2;11;13;r;-;24;;;;11298;DIMM 2048Mb DDR3  PC3-10600 NCP
Оперативная память;NCP;NCPH8AUDR-13M58;67747;DIMM 2048Mb DDR3  PC3-10600 NCP 1333Mhz;13,9;14,4;15,4;16,4;-;-;24;;;;11298;DIMM 2048Mb DDR3  PC3-10600 NCP
Оперативная память;Patriot;PSD32G133381;74443;DIMM 2048Mb DDR3  PC3-10600 Patriot 1333Mhz box;10,5;11;12;14;*;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Patriot
Оперативная память;Patriot;PSD32G160081H;82733;DIMM 2048Mb DDR3  PC3-10600 Patriot 1333Mhz   HeatShield (box);13;14;15;20;-;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Patriot  HeatShield (box)
Оперативная память;Samsung;M378B5773СH0-CH9;60031;DIMM 2048Mb DDR3  PC3-10600 Samsung 1333Mhz orig;15,5;16;17;18;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Samsung
Оперативная память;Silicon Power;SP002GBLTU133V02;57943;DIMM 2048Mb DDR3  PC3-10600 Silicon Power 1333Mhz;11;11,3;11,6;13;*;+;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Silicon Power
Оперативная память;Silicon Power;SP002GBLTU133S02;70532;DIMM 2048Mb DDR3  PC3-10600 Silicon Power 1333Mhz box;9,6;9,7;10;12;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Silicon Power
Оперативная память;Silicon Power;SP002GBLTU160V02;84242;DIMM 2048Mb DDR3  PC3-12800 Silicon Power;12;12,3;12,4;13;r;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 Silicon Power
Оперативная память;TwinMos;BBD2E107161134;79059;DIMM 2048Mb DDR3  PC3-10600 TwinMos Value RAM M.tec 2GB 1 pcs PC3-10666 9-9-9-24 1.5V;9,9;10;11;14;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 TwinMos
Оперативная память;Kingston;KVR1333D3N9/2G;73218;DIMM 2048Mb DDR3  PC3-10600 Kingston  KVR1333D3N9/2G;13;13,5;14;15;*;-;24;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston
Оперативная память;Kingston;KVR1333D3S8N9/2G;76226;DIMM 2048Mb DDR3  PC3-10600 Kingston   Non-ECC CL9 DIMM K;13;14;14,5;17;-;-;24;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston
Оперативная память;Transcend;JM1333KLN-2G;58315;DIMM 2048Mb DDR3  PC3-10600 Transcend JetRam 1333Mhz, 256Mx8, non-Reg., no-ECC, CL9;11,6;12;13;15;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Transcend
Оперативная память;GoodRam;GR1600D364L9/2G;57416;DIMM 2048Mb DDR3  PC3-12800 GoodRam 1600MHz;12,7;13;14;18;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 GoodRam
Оперативная память;GoodRam;GY1600D364L8/2G;65558;DIMM 2048Mb DDR3  PC3-12800 GoodRam 1600MHz, CL8;26,5;27;29;31;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-12800 GoodRam
Оперативная память;Kingston;KHX1333C7AD3/2G;79194;DIMM 2048Mb DDR3  PC3-10600 Kingston, DDR1333MHz CL7 (7-7-7-20) HyperX;14,5;15;16;19;-;-;36;;;;11298;DIMM 2048Mb DDR3  PC3-10600 Kingston HyperX
